job_id,symbol,lane,experiment_type,priority,target_positives,target_rate,days_with_target,n_top_rules,best_score,best_f1,best_stability
267,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,110,0.003672420124862284,3,25,0.2356166813230018,0.24434389140271495,0.22847623671232736
249,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,128,0.004273361599839749,3,25,0.23555158666518383,0.25116279069767444,0.2227787833658733
5,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,5,0.0001669281874937402,3,25,0.2332053938953222,0.24,0.2276461707187676
335,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,5,0.0001669281874937402,3,25,0.2332053938953222,0.24,0.2276461707187676
101,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2317052154484228,0.25,0.2167367553607687
255,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,131,0.004373518512335993,3,25,0.23115551265193401,0.24770642201834864,0.21761385953395837
262,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,104,0.003472106299869796,3,25,0.22544404454868688,0.24477611940298508,0.20962689239517016
45,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2254006886919534,0.24000000000000002,0.21345579762173342
46,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2254006886919534,0.24000000000000002,0.21345579762173342
381,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.2254006886919534,0.24000000000000002,0.21345579762173342
382,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.2254006886919534,0.24000000000000002,0.21345579762173342
483,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,138,0.00460721797482723,3,25,0.22534104866345234,0.24,0.21334736120627698
489,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,138,0.00460721797482723,3,25,0.22534104866345234,0.24,0.21334736120627698
110,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,7,0.00023369946249123628,3,25,0.22395895514888348,0.23076923076923078,0.2183869114595084
289,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,160,0.0053417019997996865,3,25,0.22363596628590882,0.23493975903614459,0.21438740858117042
292,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,160,0.0053417019997996865,3,25,0.22363596628590882,0.23493975903614459,0.21438740858117042
293,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,160,0.0053417019997996865,3,25,0.2133550747912869,0.21776504297994267,0.20974691900056855
71,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,6,0.00020031382499248823,3,25,0.21163745950037305,0.22641509433962262,0.19954666735916887
89,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,6,0.00020031382499248823,3,25,0.21163745950037305,0.22641509433962262,0.19954666735916887
288,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,160,0.0053417019997996865,3,25,0.20861475405412136,0.2165605095541401,0.20211368137228783
523,INTARIAN_PEPPER_ROOT,drift_search,regime_rule_search,medium,18,0.0006009414749774647,3,25,0.20829784196896328,0.23076923076923078,0.18991216022328986
526,INTARIAN_PEPPER_ROOT,drift_search,regime_rule_search,medium,18,0.0006009414749774647,3,25,0.20829784196896328,0.23076923076923078,0.18991216022328986
97,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.20349092973413707,0.2222222222222222,0.18816532678934011
98,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.20349092973413707,0.2222222222222222,0.18816532678934011
527,INTARIAN_PEPPER_ROOT,drift_search,regime_rule_search,medium,18,0.0006009414749774647,3,25,0.201415911540268,0.20689655172413793,0.1969317513898289
19,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,6,0.00020035395866029986,3,25,0.2009394148097604,0.21428571428571427,0.1900197152385254
20,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,6,0.00020035395866029986,3,25,0.2009394148097604,0.21428571428571427,0.1900197152385254
355,ASH_COATED_OSMIUM,no_prior,timestamp_window_search,medium,6,0.00020035395866029986,3,25,0.2009394148097604,0.21428571428571427,0.1900197152385254
356,ASH_COATED_OSMIUM,no_prior,timestamp_window_search,medium,6,0.00020035395866029986,3,25,0.2009394148097604,0.21428571428571427,0.1900197152385254
0,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,5,0.0001669281874937402,3,25,0.19165344878045537,0.19999999999999998,0.18482445232810063
330,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,5,0.0001669281874937402,3,25,0.19165344878045537,0.19999999999999998,0.18482445232810063
477,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,255,0.00851333756218075,3,25,0.18923099049715753,0.2033195020746888,0.17770402647917735
291,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,160,0.0053417019997996865,3,25,0.18832390169161203,0.19375,0.18388436671202185
