product,day,n,mse,mae,ic,rank_ic,sign_acc,pseudo_sharpe
PEBBLES_XL,2,24,0.0012742978287860751,0.02434382401406765,0.34929034972667944,0.4382608695652173,0.75,14.535503820315801
PEBBLES_XL,3,20,0.0019146110862493515,0.034390635788440704,-0.20073720884718624,-0.27518796992481204,0.55,-2.989563815690483
PEBBLES_XL,4,17,0.001840243930928409,0.03520423173904419,-0.04368426864720647,-0.09068627450980393,0.47058823529411764,0.04846406698490909
PEBBLES_XS,2,24,0.005279517266899347,0.06251532584428787,-0.335626980058674,-0.3773429434628448,0.2916666666666667,-12.722400010309155
PEBBLES_XS,3,25,0.004183848854154348,0.05722636729478836,0.11560323760006058,0.03307692307692307,0.28,-12.765505915930934
PEBBLES_XS,4,23,0.008006016723811626,0.07373122870922089,-0.03469834849873439,-0.18073708393526727,0.391304347826087,-9.908408718637498
ROBOT_DISHES,2,25,0.0004530129081103951,0.015499617904424667,0.016053078399648885,0.1453846153846154,0.6,3.5786282244264926
ROBOT_DISHES,3,22,0.0015162131749093533,0.0328807607293129,-0.6271382415009278,-0.6420101637492943,0.4090909090909091,-12.777731146209815
ROBOT_DISHES,4,23,0.0007963431417010725,0.023338768631219864,0.4073495711535851,0.27205273867209945,0.43478260869565216,-5.166027301651602
ROBOT_IRONING,2,22,0.0003620498755481094,0.014056850224733353,0.22175242703616263,0.2241671372106155,0.5909090909090909,8.017103770943448
ROBOT_IRONING,3,23,0.0003549706016201526,0.01606564410030842,0.2933805687495666,0.3379446640316206,0.9565217391304348,52.59340810610741
ROBOT_IRONING,4,23,0.0004694215895142406,0.02026580460369587,0.1520577802572814,0.1632452398505748,0.2608695652173913,-14.652936524920351
ROBOT_LAUNDRY,2,22,0.0003480449959170073,0.01567072980105877,-0.19272207676273131,-0.23433088650479958,0.36363636363636365,-0.07926296424767158
ROBOT_LAUNDRY,3,21,0.000767697871197015,0.022514328360557556,-0.5742760684090265,-0.5337662337662338,0.7142857142857143,4.5971455493322875
ROBOT_LAUNDRY,4,19,0.0011457782238721848,0.024411849677562714,-0.19097618274063535,-0.08070175438596491,0.47368421052631576,-2.0913842425935734
ROBOT_MOPPING,2,23,0.0005623544566333294,0.018467752262949944,-0.004879178049164248,0.1956521739130435,0.782608695652174,19.75523137897525
ROBOT_MOPPING,3,23,0.000589667703025043,0.020099591463804245,-0.11472541506961456,-0.06027667984189724,0.4782608695652174,-2.9012951462073575
ROBOT_MOPPING,4,22,0.0005072201602160931,0.018626270815730095,0.26030182830957643,0.2783738001129306,0.7272727272727273,21.883092459214833
ROBOT_VACUUMING,2,24,0.00026870236615650356,0.013699717819690704,-0.09687136665623391,-0.13652173913043478,0.5,0.3212465342845469
ROBOT_VACUUMING,3,22,0.0005633692489936948,0.019334832206368446,-0.3478907469306689,-0.3190287972896669,0.7272727272727273,12.398649109753109
ROBOT_VACUUMING,4,22,0.0004942031227983534,0.01840650849044323,0.33933672758038075,0.19141727837380013,0.5454545454545454,11.767299653826779
SLEEP_POD_COTTON,2,27,0.0009592112037353218,0.023977773264050484,0.10936618459509205,0.29609279609279604,0.7777777777777778,16.151585585424826
SLEEP_POD_COTTON,3,20,0.0007582387188449502,0.021067913621664047,0.27210739669631945,0.24962406015037594,0.6,2.6095367553621953
SLEEP_POD_COTTON,4,23,0.0007482076180167496,0.0201332438737154,-0.45234913769708046,-0.3942687747035573,0.8260869565217391,37.558802568387804
SLEEP_POD_LAMB_WOOL,2,21,0.0004018489271402359,0.01608489826321602,0.20532935351595727,0.15584415584415584,0.6666666666666666,9.025124521802173
SLEEP_POD_LAMB_WOOL,3,24,0.0012942395405843854,0.03217087313532829,0.26812526966117156,0.25913043478260867,0.20833333333333334,-32.954550137962926
SLEEP_POD_LAMB_WOOL,4,24,0.00017736559675540775,0.01013021171092987,0.2668672403177486,0.2860869565217391,0.5833333333333334,9.306322724427906
SLEEP_POD_NYLON,2,24,0.0008354642777703702,0.023695699870586395,-0.3418913424891694,-0.37739130434782603,0.25,-12.494875205374047
SLEEP_POD_NYLON,3,26,0.0003215144097339362,0.012636015191674232,-0.16737295831978966,-0.09333333333333332,0.5769230769230769,-0.7471949280285406
SLEEP_POD_NYLON,4,26,0.001179395359940827,0.02593349665403366,0.056907532976502424,0.1904273504273504,0.46153846153846156,-4.049658421217105
SLEEP_POD_POLYESTER,2,22,0.0009925580816343427,0.029033726081252098,0.6061712119697229,0.5776397515527951,0.6363636363636364,14.535731888904106
SLEEP_POD_POLYESTER,3,25,0.0024445210583508015,0.04748265817761421,0.6794872399103254,0.7223076923076923,0.08,-44.805265406746074
SLEEP_POD_POLYESTER,4,23,0.0005340532516129315,0.02015678584575653,-0.1256885842182253,-0.2509881422924901,0.4782608695652174,8.419316862901608
SLEEP_POD_SUEDE,2,21,0.0017325837397947907,0.03380279988050461,0.16833924603901412,0.2831168831168831,0.42857142857142855,-18.430188693347652
SLEEP_POD_SUEDE,3,24,0.0003640789072960615,0.016750097274780273,0.23599051582724173,0.14608695652173911,0.5416666666666666,4.683948265554635
SLEEP_POD_SUEDE,4,23,0.000650067871902138,0.022486191242933273,0.42339388846031123,0.39328063241106714,0.5652173913043478,5.3644323657778905
SNACKPACK_CHOCOLATE,2,25,0.00020144406880717725,0.010693731717765331,0.13094033381423403,0.19153846153846155,0.68,15.603899604119016
SNACKPACK_CHOCOLATE,3,22,0.00012435883400030434,0.008569042198359966,0.3730621292411361,0.3088650479954828,0.6818181818181818,14.463302205905872
SNACKPACK_CHOCOLATE,4,23,0.00012918983702547848,0.008424020372331142,0.43076747246125846,0.47727272727272735,0.782608695652174,10.675868000172603
SNACKPACK_PISTACHIO,2,21,9.006291656987742e-05,0.007758317980915308,0.4114545389063163,0.32727272727272727,0.6190476190476191,5.548205699045809
SNACKPACK_PISTACHIO,3,22,0.00027031611534766853,0.01203824020922184,0.14168771152066495,0.2636928289102203,0.7272727272727273,14.944087753831566
SNACKPACK_PISTACHIO,4,25,0.000292407552478835,0.013549257069826126,-0.05613041579714778,-0.16076923076923075,0.48,-3.225753342116804
SNACKPACK_RASPBERRY,2,24,0.0003710580349434167,0.014973574317991734,-0.07781932709396858,0.050434782608695654,0.75,6.977148234345054
SNACKPACK_RASPBERRY,3,24,0.0003263634571339935,0.014193872921168804,0.37890898676150414,0.4556521739130434,0.75,15.546123799135453
SNACKPACK_RASPBERRY,4,20,0.00015267673006746918,0.01040483545511961,-0.14873386838016223,-0.07969924812030074,0.45,-8.683208240917308
SNACKPACK_STRAWBERRY,2,21,0.0007074081222526729,0.02157713659107685,0.4504459092401244,0.42207792207792205,0.5714285714285714,-1.9231622183866608
SNACKPACK_STRAWBERRY,3,23,0.000222858099732548,0.012446189299225807,0.5604193207569165,0.5444664031620554,0.8260869565217391,26.377902125083292
SNACKPACK_STRAWBERRY,4,22,0.00019383248582016677,0.01103727426379919,-0.12940286749412608,-0.1507622811970638,0.45454545454545453,-10.589109578262859
SNACKPACK_VANILLA,2,23,0.00026378242182545364,0.014263167046010494,0.7112847343567128,0.599802371541502,0.34782608695652173,-5.129004795771587
SNACKPACK_VANILLA,3,21,0.00012879338464699686,0.009420596063137054,0.3801908870212396,0.38311688311688313,0.8095238095238095,26.185647844599856
SNACKPACK_VANILLA,4,21,0.00013313085946720093,0.010253115557134151,0.3579815132171603,0.3181818181818181,0.5238095238095238,4.206723226416609
TRANSLATOR_ASTRO_BLACK,2,22,0.0005280268378555775,0.018553657457232475,0.5601579767576966,0.3867871259175608,0.6818181818181818,17.324651657209355
TRANSLATOR_ASTRO_BLACK,3,20,0.0033624053467065096,0.055141933262348175,0.5067273168630491,0.4857142857142857,0.15,-46.49991680052609
TRANSLATOR_ASTRO_BLACK,4,21,0.0004169030871707946,0.0167513620108366,-0.05881192011815331,-0.022077922077922082,0.42857142857142855,-7.289040039525346
TRANSLATOR_ECLIPSE_CHARCOAL,2,27,0.001097838394343853,0.027695300057530403,0.6267081179606151,0.6849816849816849,0.5555555555555556,7.039301636819012
TRANSLATOR_ECLIPSE_CHARCOAL,3,23,0.0008932724595069885,0.023520832881331444,0.10545389795245722,0.11067193675889328,0.4782608695652174,-3.544420527869285
TRANSLATOR_ECLIPSE_CHARCOAL,4,19,0.00027810316532850266,0.014199837110936642,-0.13992305855986673,-0.20350877192982456,0.3157894736842105,-8.997312405647374
TRANSLATOR_GRAPHITE_MIST,2,25,0.0010065860114991665,0.02924637869000435,-0.11601779334463219,-0.15000000000000002,0.32,-9.835538919809766
TRANSLATOR_GRAPHITE_MIST,3,23,0.003843439044430852,0.05699465051293373,0.28627600617892296,0.34980237154150196,0.21739130434782608,-34.293606790152886
TRANSLATOR_GRAPHITE_MIST,4,26,0.0008206609054468572,0.02486802265048027,-0.47328539661475794,-0.47008547008547,0.4230769230769231,-4.713970385178751
TRANSLATOR_SPACE_GRAY,2,24,0.002954244613647461,0.04673993960022926,-0.4761059050768025,-0.4130434782608695,0.08333333333333333,-23.32590524016852
TRANSLATOR_SPACE_GRAY,3,20,0.0005089819896966219,0.01833100989460945,-0.3811407827010176,-0.3609022556390977,0.65,3.088953184933922
TRANSLATOR_SPACE_GRAY,4,22,0.0007515912875533104,0.022415602579712868,-0.003502704100109201,0.051383399209486175,0.5454545454545454,-4.5213608077622975
TRANSLATOR_VOID_BLUE,2,22,0.0016251533525064588,0.036548539996147156,0.007870057333552833,-0.11123658949745907,0.045454545454545456,-33.03621000176222
TRANSLATOR_VOID_BLUE,3,24,0.001841121818870306,0.03955036774277687,-0.3198826335440729,-0.17043478260869566,0.5,16.32823695868523
TRANSLATOR_VOID_BLUE,4,25,0.00025679642567411065,0.011477570980787277,0.6922541542591072,0.7207692307692307,0.76,23.27502332660417
UV_VISOR_AMBER,2,21,0.0019351756200194359,0.04072916507720947,-0.773131125686845,-0.8012987012987013,0.38095238095238093,-9.6141267300141
UV_VISOR_AMBER,3,21,0.00025091151474043727,0.013497084379196167,0.32304904058884576,0.18961038961038962,0.7142857142857143,19.925519450135514
UV_VISOR_AMBER,4,25,0.0003926573263015598,0.014907697215676308,0.37077040861343813,0.48538461538461536,0.8,26.422605453255386
UV_VISOR_MAGENTA,2,20,0.0005151384393684566,0.02084188535809517,0.26096580506866335,0.20902255639097742,0.5,11.181939003570264
UV_VISOR_MAGENTA,3,23,0.00020092302293051034,0.012160793878138065,-0.2933723995482808,-0.3112648221343874,0.782608695652174,28.642287701092208
UV_VISOR_MAGENTA,4,28,0.0008104963344521821,0.02382749691605568,0.2876207181912827,0.3333333333333333,0.25,-18.260660222526948
UV_VISOR_ORANGE,2,26,0.0009756818762980402,0.026578323915600777,0.5138968808371868,0.5186324786324785,0.46153846153846156,4.679901932976592
UV_VISOR_ORANGE,3,22,0.0008143392042256892,0.023241238668560982,0.11073592902282856,0.016374929418407683,0.45454545454545453,-7.579015584288172
UV_VISOR_ORANGE,4,23,0.0006098237936384976,0.019798409193754196,-0.009333275309696614,-0.11067193675889328,0.9565217391304348,66.72541241453514
UV_VISOR_RED,2,20,0.0009685303084552288,0.026709187775850296,0.08829210572491844,0.0706766917293233,0.5,4.270625311806267
UV_VISOR_RED,3,25,0.0014241699827834964,0.03150409460067749,-0.174266686616611,-0.30000000000000004,0.64,1.528952024919149
UV_VISOR_RED,4,19,0.0004886403330601752,0.019570350646972656,0.1367570127936281,0.14736842105263157,0.631578947368421,15.383833207480784
UV_VISOR_YELLOW,2,24,0.0007339318399317563,0.023341253399848938,-0.06830589314444217,-0.07304347826086956,0.4166666666666667,-5.4245892256719985
UV_VISOR_YELLOW,3,22,0.0016600153176113963,0.036946412175893784,0.5550020921881272,0.5527950310559007,0.09090909090909091,-37.24110490974366
UV_VISOR_YELLOW,4,21,0.001112389494664967,0.028720948845148087,-0.2544764017825348,-0.3766233766233766,0.3333333333333333,-10.568155541104316
